country_name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,Lat,Long
Martinique,,,,1,13,,,2,,,,19.85627,102.495496
Mauritania,,8,,0,0,1,,3,7,55,0,56.879635,24.603189
Mauritius,,11,,,,,,2,0,,,33.854721,35.862285
Mexico,,223,21,125,182,32,36,58,41,88,72,-29.609988,28.233608
Micronesia Fed States,,,,,,,0,,,,1,6.428055,-9.429499
Moldova Rep,,,10,,1,,3,0,13,0,,26.3351,17.228331
Mongolia,,,,,,31,52,,,,,47.166,9.555373
Montenegro,,,1,,0,0,,0,,,,55.169438,23.881275
Montserrat,,,,,,,,,0,,,49.815273,6.129583
Morocco,0,,0,,42,29,39,,17,1,628,22.198745,113.543873
Mozambique,,121,33,36,49,198,238,142,31,16,,41.608635,21.745275
Myanmar,,23,40,225,113,24,138366,35,59,17,307,-18.766947,46.869107
Namibia,,17,0,108,8,92,51,14,15,,0,-13.254308,34.301525
Nepal,16,244,86,182,223,459,115,214,157,51,185,4.210484,101.975766
Netherlands,,2,1,,0,,0,7,1000,0,,3.202778,73.22068
Netherlands Antilles,,,,,,,,,,,,17.570692,-3.996166
New Caledonia,,,,,,,,,,,,35.937496,14.375416
New Zealand,,0,3,182,0,,,0,0,0,4,7.131474,171.184478
Nicaragua,1,30,9,17,87,8,30,198,,7,29,14.641528,-61.024174
Niger,,32,188,64,108,172,180,7,66,44,154,21.00789,-10.940835
Nigeria,,19,388,879,549,1732,178,291,40,779,266,-20.348404,57.552152
Niue,,,,,,,,,,,1,-12.8275,45.166244
Northern Mariana Is,,,,,,,,,,,3,23.634501,-102.552784
Norway,,,,4,,,0,,,0,,7.425554,150.550812
Oman,,,,14,16,,,76,,,,47.411631,28.369885
Pakistan,,730,671,511,2186,102,249,911,513,74204,31,43.750298,7.412841
Palau,,0,,,,,,,,,,46.862496,103.846656
Palestine (West Bank),,6,0,,0,,0,,,,,42.708678,19.37439
Panama,,0,6,0,15,0,28,2,11,3,16,16.742498,-62.187366
Papua New Guinea,,0,65,0,,211,10,172,16,2,0,31.791702,-7.09262
Paraguay,,0,5,44,12,8,12,8,17,0,0,-18.665695,35.529562
Peru,0,69,299,109,510,577,40,677,0,5,101,21.913965,95.956223
Philippines,85,8382,2415,1989,1113,1307,959,129,2984,39,1950,-22.95764,18.49041
Poland,17,29,198,26,219,307,84,19,0,193,0,-0.522778,166.931503
Portugal,0,10,,,46,0,2,,41,15,2,28.394857,84.124008
Puerto Rico,,,0,1,,,,1,,,2,52.132633,5.291266
Reunion,,,,,,,,2,,0,,12.226079,-69.060087
Romania,13,9,86,,78,65,5,80,145,95,49,-20.904305,165.618042
Russia,,4,415,1,55844,,13,2,116,31,36,-40.900557,174.885971
Rwanda,,,5,14,21,,36,30,59,,4,12.865416,-85.207229
Samoa,,,12,,,143,,,,9,1,17.607789,8.081666
Sao Tome Et Principe,,,,,,,,,,,,9.081999,8.675277
Saudi Arabia,,39,19,11,24,161,,,,63,5,-19.054445,-169.867233
Senegal,,8,19,0,2,6,1,24,,303,8,-29.040835,167.954712
Serbia,0,0,25,,9,0,,0,,,,40.339852,127.510093
Serbia Montenegro,,,,,,,,,3,2,,17.33083,145.38469
Seychelles,0,0,,,,,,,0,,3,60.472024,8.468946
Sierra Leone,1,0,300,21,16,103,170,0,,20,66,21.512583,55.923255
Singapore,,,,,,,,,,,,30.375321,69.345116
Slovakia,,1,5,,126,,,1,1,1,3,7.51498,134.58252
Slovenia,1,,0,,,,,6,,0,1,31.952162,35.233154
Solomon Is,22,13,0,0,2,21,0,52,,,,8.537981,-80.782127
